user_id,num_levels_completed,unique_levels_completed,returns,total_time_played,active_time,abtest_value
ceujSoe3QQAN7Ewh20trUHxGba2cWPG94bsXAH0q,0,0,0,0,0,1
CGg4aJVSm4TmExCIc2kHp3tMSKmEZBbChrGsaCkx,12,12,0,570,510,2
CgKe5T1W0VPdP5ai2kWVMUeiA8Ki8XZKdKZjD1gE,1,1,0,420,180,1
CI3B6ycMSq5gs74XyM3B2VXtt4xudqfP9irfRD2J,7,7,0,240,240,1
Cl1yCON0BNAjvrZCyDCmqKNqj2ZmVbQyxR7aFUbh,4,4,0,150,150,2
cQ7B1ELXbYdcX9czNBFGznkX29FagVvtMD4OiQLt,0,0,0,120,120,1
CqblkhtibYdeegBJedkGe9FM05pmVqSyR3Tckmuv,0,0,0,0,0,1
cR7SAKB7o8ZUb8NzN29UGXivgOIFpZtBQAtrk5yJ,6,6,0,90,90,2
cRWOPvN3EnOQqjPiUPxl6LK5rs9BGMlTDiHtNvxr,3,3,0,90,90,2
CSEuGdq4S6QJ6R8n0tgTJ4Xx2nAT85yLYcfFqGKi,0,0,0,30,30,1
CTJTkrmXeJqohobgXVxszrI2WDn32TmFM6y7xU4M,14,13,2,4470,1590,1
CV6TD5spujN1qs0e9seZhTE0KlmpX9Bz4HtHNW6h,6,6,0,180,180,1
cVcQXom65iYQXVGNXgMjsKu4avhC7wCjsPapdwwj,10,10,1,360,360,2
CvXF2NO3S9iQYXbBcKnzokr1YXUHDxmg2kW58K81,9,9,0,390,390,2
cZF6UsvbDOHHgr3CeG6wf0yrGK6Mi9qv96B3y7fc,2,2,0,330,330,2
d2vy17X9156x5ooQT3dIqH9cXeNkurtIuYgw5eF7,0,0,0,0,0,1
dapl8eMWiWFN6PUqSTMSV4rBVIy3Qod4zDqIScEa,0,0,0,30,30,1
DBmgO4cWCv2Zjs04DTULg92HjPTYpat3LQkAUwwx,7,7,0,150,150,1
DBYg9Pn5Bvzb2iRYZ9r0Nbj1CaJIP3usEtJOi7TU,1,1,0,30,30,1
DcBERLNuMWm4NVFG7F29d28haYVQom42zFGqruVe,0,0,0,60,60,1
dfD5ClA2BSDfZnsbc8udgK0mAzRcajtoy6ubs4d4,7,7,0,480,480,1
DFGW3Lf2xEPnPA8gZnF5sIWeR2LfAjDeZjb24q5C,12,12,0,390,390,2
DgiYYb8LwVmWSndaIrIV3J9K3bf35sFIIXHH9QsG,6,6,0,210,210,1
DGrNuYw4tdZpD7KWACSGPJPHGqZ8eZPSGgFafbeI,1,1,0,60,60,2
DHD8i2iY72qnhVGr5WRRGNiYmGbzmCf0jS8BVrA3,7,7,1,75840,810,2
dIbICP7eyLL5AZkTNcpH3I9KHa8d30NhIY0kO7zn,0,0,0,30,30,1
DjVlsjEdPnDXOUmOCAYx1FOXKKjsab7Ov2aXlObb,4,4,0,90,90,1
DLzLGyD2McuOdL15xbi8QYxsNFMRBGFfrf17OFaA,0,0,0,30,30,1
DrsXMoAAWIwTlCDQSswpJarOXVkwnF106uYTSztP,5,5,0,60,60,1
DsF4nqiBemTEo81bGHh18eHdAc5iHswlVbqjBIUQ,5,5,0,90,90,1
dwDm7it7QwgFy5oUmn61wpOB7twS6m6jTJG12a9T,0,0,0,0,0,2
e2icuUuCoVmLG62ZAH3GwgTfhuHIBbfPey2ItxkR,0,0,0,0,0,1
E6H43VJ0llc9rAWfvH3fV8Q2eU2cgrEVylZBhJCC,7,7,0,270,270,1
E9McYGh8F8oE0rcmR4ITL7LAdFCNqsE5Brhz7zHN,2,2,0,90,90,1
eC7z9SDteUrjJz8M4ePoA6v2NSfIcz0rc70lZDPe,12,12,0,330,330,1
ekOiiGkF16xn9gHxJAiJEwf6LYjhzI0O2P7lvr0x,7,7,0,420,420,1
ElKoh92hYiXKy87k36Futl7uvcoWZaqDvb2Nk44i,0,0,0,30,30,2
EYmxnmJReRO5VjRspcAv9TmZf6f0T6Sy4e5sAPkP,0,0,0,0,0,-1
eZIFVZVUNEcpGBsrtdFsFMZ8z1J2Q5B54jKZjFT6,13,13,1,1050,1020,1
f0mEbgSqiiCsEvvjC5P4ZIaZLOacN8G392HkjALB,12,12,0,690,690,2
F1E4yEkvJet7cYeBmT5tFAzcDQpidzsTA6X9KiEu,3,3,0,120,120,2
f6PuQDkch84cUHpY1zeoBobW39kYxvRNCHiskDEC,8,8,1,780,570,2
fbaVYSO5BJNdlpKIn55nmw5E15Pdq2cGdmBcfqiR,0,0,0,0,0,2
FbEJGnvhQamZX1iUJwUjx0vnTR9vHcPmou64SBlI,0,0,0,0,0,2
FbwZmSKpdPKkRKLe8keBjpgPDNAd5YVLarKxkuWx,1,1,0,120,120,2
fC09K65noLmWFgCFDQ72a3mU7UcqU9H9LHjwNoTc,7,7,0,360,360,2
fcqPb7Wpaik92oAgXXcnegElGPdUFoQVAgKMnHby,12,12,0,1890,870,1
fDPpup17qliMeXiWQxX8N0u6ax3lJz0ZdQpIfqPG,10,10,0,540,510,2
ferWmPK8oWUriSEgLbWOduHlA5bAs9MIneEK4pSt,10,10,0,510,510,2
Fety3x8vqXf84W8dUIf98LJgs6yUeExTS1sVyBrY,9,9,0,450,450,1
fKlpHLwC2zrTu8sWkYGecbY3PZvUJYNZJ9oqVV3X,9,9,0,480,480,2
FlXVHJ3XWBISAPrmPhSXejivSrQxK3YpoWl5Gp3C,0,0,0,0,0,1
FMref8zXboad1W4lkSvBxQhm3n7o2UGIH8XWgwUs,10,10,0,690,690,2
fNzBtwRlvxpXL2mSya7hwevdX21TA47QRHrldjHJ,6,6,0,120,120,1
FO7FxIAvpzvZjfEFNEbcIkN48dI6UDbzrieZ1Pvq,0,0,0,0,0,1
Fok8g2j22p9mAINZT03mveI8OOPE1jiGICPYE81G,12,12,0,720,720,1
fOwIxMR2VEUugZMs5pfxpi8sd4RGD9LSXiBv5ty0,7,7,0,2460,270,2
FPerm2PudPyeEtLQoJiPhIceoBzMcUgSJuk6x9BK,6,6,0,240,240,1
FsLZOxgFoxMydr4Zi8jVRyAuT2cpzzxf2jfQQvwf,3,3,0,60,60,1
FtlsUMd6UqvmMaEC5EVLI6YoD0nhnPe3izvcmIjg,8,8,0,1020,240,1
fVjtK8mWMVy9BrtlvJcjolawVQQCgjCvfWZZ5lVS,5,5,0,120,120,2
gbsKnry0XPLdqJUDc7eAduEh2EO4v19MdBwB35C1,6,6,0,420,420,1
gDIJv4Xow9xy675vNBnUdXqJfSX0KnS10BLvGIUc,6,6,0,90,90,1
GDmpB8IFcwJF3vGESjOKCHzYugCXhYDYB0od86Sk,1,1,0,30,30,1
GoH8fTAh1JsfziXOIZ1vEpYdLbGN5jLLIsUXluen,0,0,0,30,30,1
gP8PjsdXp9QWTICiOrXaIbEO5PxnjwwAmFqF7DDw,12,12,0,870,780,1
GQlgdwmpuQplMPpX8p01Jn2Pd6yS9bbP1x5f3sEy,3,3,0,90,90,1
gQxMQFuwoOfBLNwN7JKnpO9NF7iRGFnWwUImAdTY,5,5,0,120,120,1
gSrhlMow7hR5WARE46cNmXGqZOJtu6jLYK3kxrRF,6,6,0,150,150,1
gt3r6ERpmH0sQHQ7s3UBPK1Nc3i0ni8DLb5RQWhc,9,9,0,240,240,1
gU8u5nK0mHEgbWJV7ooNtU9WS6PGegTvb2ZgpKhM,5,5,0,300,300,1
